Date,Time,Location,Type,SubType,Confidence
2025-11-08,17:05:39,North End Forest Zone,cat,buffalo,0.19
2025-11-08,17:05:39,North End Forest Zone,person,person,0.26
2025-11-08,17:05:40,South Watch Post,cat,buffalo,0.11
2025-11-08,17:09:07,North End Forest Zone,cat,buffalo,0.22
2025-11-08,17:09:07,East Ridge Trail,cat,buffalo,0.17
2025-11-08,17:09:08,Western Cliff Edge,cat,buffalo,0.2
2025-11-08,17:09:09,Deep Valley Camp,cat,buffalo,0.13
2025-11-08,17:09:09,Western Cliff Edge,cat,buffalo,0.15
2025-11-08,17:09:10,South Watch Post,cat,buffalo,0.34
2025-11-08,17:09:11,Western Cliff Edge,cat,buffalo,0.24
2025-11-08,17:09:11,South Watch Post,cat,buffalo,0.25
2025-11-08,17:09:54,South Watch Post,cat,buffalo,0.23
2025-11-08,17:09:54,South Watch Post,cat,cat,0.35
2025-11-08,17:09:55,Central Lake Area,cat,buffalo,0.14
2025-11-08,17:09:56,Deep Valley Camp,cat,buffalo,0.24
2025-11-08,17:09:56,South Watch Post,cat,buffalo,0.22
2025-11-08,17:09:57,Western Cliff Edge,cat,buffalo,0.24
2025-11-08,17:09:58,East Ridge Trail,cat,buffalo,0.2
2025-11-08,17:09:58,Deep Valley Camp,cat,buffalo,0.23
2025-11-08,17:09:59,East Ridge Trail,cat,buffalo,0.1
2025-11-08,17:09:59,Central Lake Area,person,person,0.25
2025-11-08,17:10:00,Central Lake Area,cat,buffalo,0.15
2025-11-08,17:10:00,South Watch Post,person,person,0.27
2025-11-08,17:10:00,Western Cliff Edge,cat,buffalo,0.21
2025-11-08,17:10:01,Western Cliff Edge,person,person,0.3
2025-11-08,17:10:01,East Ridge Trail,cat,buffalo,0.14
2025-11-08,17:10:02,Western Cliff Edge,cat,buffalo,0.29
2025-11-08,17:10:02,Deep Valley Camp,person,person,0.45
2025-11-08,17:10:02,Western Cliff Edge,cat,buffalo,0.26
2025-11-08,17:10:02,South Watch Post,person,person,0.25
2025-11-08,17:10:03,Central Lake Area,cat,buffalo,0.19
2025-11-08,17:10:04,Central Lake Area,cat,buffalo,0.2
2025-11-08,17:10:04,East Ridge Trail,cat,buffalo,0.23
2025-11-08,17:10:04,North End Forest Zone,person,person,0.36
2025-11-08,17:10:05,North End Forest Zone,cat,buffalo,0.26
2025-11-08,17:10:06,Deep Valley Camp,cat,buffalo,0.25
2025-11-08,17:10:06,Western Cliff Edge,cat,buffalo,0.26
2025-11-08,17:10:06,Western Cliff Edge,person,person,0.34
2025-11-08,17:10:07,Central Lake Area,cat,buffalo,0.25
2025-11-08,17:10:08,North End Forest Zone,cat,buffalo,0.21
2025-11-08,17:10:08,East Ridge Trail,cat,buffalo,0.36
,2025-11-08,17:17:11,Greywood Edge,cat,0.459,0
,2025-11-08,17:23:47,Elderleaf Basin,cat,0.459,0
2025-11-08,18:11:09,Greywood Edge,cat,buffalo,0.1058
2025-11-08,18:11:09,North Ridge Forest,cat,cat,0.6376
2025-11-08,18:11:10,Fernvale Thicket,cat,cat,0.2976
2025-11-08,18:11:10,Greywood Edge,person,person,0.2527
2025-11-08,18:11:11,Misty Creek Grove,cat,buffalo,0.1087
2025-11-08,18:11:12,Misty Creek Grove,cat,buffalo,0.1401
2025-11-08,18:11:12,Fernvale Thicket,cat,buffalo,0.1244
2025-11-08,18:11:13,Pine Hollow Zone,cat,buffalo,0.1118
2025-11-08,18:11:13,Elderleaf Basin,cat,buffalo,0.2353
2025-11-08,18:11:14,North Ridge Forest,cat,buffalo,0.105
2025-11-08,18:11:15,Fernvale Thicket,cat,buffalo,0.1089
2025-11-08,18:11:15,North Ridge Forest,cat,buffalo,0.1291
2025-11-08,18:11:16,Misty Creek Grove,cat,buffalo,0.1547
2025-11-08,18:11:24,Misty Creek Grove,cat,cat,0.6689
2025-11-08,18:11:24,Fernvale Thicket,person,person,0.3919
2025-11-08,18:11:24,Fernvale Thicket,cat,buffalo,0.1662
2025-11-08,18:11:25,Greywood Edge,cat,buffalo,0.1945
2025-11-08,18:11:26,Fernvale Thicket,cat,buffalo,0.1901
2025-11-08,18:11:26,Misty Creek Grove,cat,buffalo,0.1774
2025-11-08,18:11:27,Fernvale Thicket,cat,buffalo,0.1625
2025-11-08,18:11:28,Elderleaf Basin,cat,buffalo,0.122
2025-11-08,18:11:28,Elderleaf Basin,cat,buffalo,0.1466
2025-11-08,18:11:29,Greywood Edge,cat,buffalo,0.1692
2025-11-08,18:11:30,Pine Hollow Zone,cat,cat,0.6239
2025-11-08,18:11:30,North Ridge Forest,cat,cat,0.6115
2025-11-08,18:11:31,Misty Creek Grove,cat,cat,0.506
2025-11-08,18:13:24,Elderleaf Basin,cat,cat,0.5163
2025-11-08,18:13:24,Greywood Edge,cat,cat,0.6235
2025-11-08,18:13:25,Elderleaf Basin,cat,cat,0.6413
2025-11-08,18:13:26,Greywood Edge,cat,cat,0.7115
2025-11-08,18:13:26,Pine Hollow Zone,cat,cat,0.7401
